Formula,temperature(K),seebeck_coefficient(μV/K),electrical_conductivity(S/m),thermal_conductivity(W/mK),power_factor(W/mK2),ZT,reference
TmCuTe2,720.0,175.0,23731.0,0.7109627038043479,0.000726761875,0.736,10.1002/chem.201404453
Ag8GeTe6,329.0,519.0,95.0,0.253,2.5589295e-05,0.0332761978458498,10.1002/pssr.200701302
Ag8GeTe6,413.0,467.0,275.0,0.267,5.9974475e-05,0.091,10.1002/pssr.200701302
Ag8GeTe6,509.0,366.4,776.0,0.283,0.00010417719295999999,0.189,10.1002/pssr.200701302
Ag8GeTe6,607.0,324.0,1760.0,0.3085,0.00018475776,0.368,10.1002/pssr.200701302
Ag8GeTe6,703.0,278.0,3000.0,0.34,0.00023,0.481,10.1002/pssr.200701302
YbSi2,522.0,-36.7,620500.0,10.4,0.0008357452450000001,0.04194798248942308,10.1002/pssr.201700372
YbSi2,475.0,-39.6,641000.0,9.933,0.00100519056,0.04806861129568106,10.1002/pssr.201700372
YbSi2,426.0,-43.6,671200.0,9.5,0.001275924352,0.05721513410021052,10.1002/pssr.201700372
YbSi2,377.0,-46.2,700000.0,9.15,0.001494108,0.06156051540983606,10.1002/pssr.201700372
YbSi2,330.0,-51.0,730100.0,8.76,0.0018989901,0.07153729828767123,10.1002/pssr.201700372
YbSi2,300.0,-52.6,747000.0,8.6,0.00206676972,0.0720966181395349,10.1002/pssr.201700372
Sr0.11Ba0.18Co4Sb12.09,300.0,-96.0,401852.0,4.64,0.003703468032,0.23944836413793105,10.1007/s00339-010-5711-3
Sr0.11Ba0.18Co4Sb12.09,350.0,-105.0,367593.0,4.45,0.004052712825,0.3187526941011236,10.1007/s00339-010-5711-3
Sr0.11Ba0.18Co4Sb12.09,400.0,-115.0,334722.0,4.25,0.00442669845,0.41663044235294117,10.1007/s00339-010-5711-3
Sr0.11Ba0.18Co4Sb12.09,450.0,-123.0,309722.0,4.16,0.004685784138,0.5068756880048076,10.1007/s00339-010-5711-3
Sr0.11Ba0.18Co4Sb12.09,500.0,-130.0,288636.0,4.06,0.0048779484,0.6007325615763547,10.1007/s00339-010-5711-3
Sr0.11Ba0.18Co4Sb12.09,550.0,-137.0,271364.0,4.0,0.005093230916,0.70031925095,10.1007/s00339-010-5711-3
Sr0.11Ba0.18Co4Sb12.09,600.0,-144.0,256018.0,3.93,0.005308789248,0.8105021752671755,10.1007/s00339-010-5711-3
Sr0.11Ba0.18Co4Sb12.09,650.0,-149.0,242593.0,3.9,0.005385807193,0.8976345321666668,10.1007/s00339-010-5711-3
Sr0.11Ba0.18Co4Sb12.09,700.0,-154.0,231818.0,3.87,0.005497795688,0.9944333285788114,10.1007/s00339-010-5711-3
Sr0.11Ba0.18Co4Sb12.09,750.0,-158.0,222273.0,3.9,0.005548823172,1.0670813792307692,10.1007/s00339-010-5711-3
Sr0.11Ba0.18Co4Sb12.09,800.0,-161.0,213636.0,3.93,0.005537658756,1.1272587798473281,10.1007/s00339-010-5711-3
Sr0.11Ba0.18Co4Sb12.09,850.0,-166.0,206818.0,3.97,0.005699076808,1.2202053619143576,10.1007/s00339-010-5711-3
Sr0.16Yb0.03Co4Sb11.82,300.0,-116.0,296818.0,4.05,0.0039939830079999995,0.2958505931851852,10.1007/s00339-010-5711-3
Sr0.16Yb0.03Co4Sb11.82,350.0,-126.0,273182.0,3.9,0.004337037432,0.389221308,10.1007/s00339-010-5711-3
Sr0.16Yb0.03Co4Sb11.82,400.0,-136.0,249091.0,3.74,0.004607187136,0.4927472872727272,10.1007/s00339-010-5711-3
Sr0.16Yb0.03Co4Sb11.82,450.0,-145.0,225455.0,3.63,0.004740191375,0.5876270299586778,10.1007/s00339-010-5711-3
Sr0.16Yb0.03Co4Sb11.82,500.0,-154.0,210455.0,3.5,0.00499115078,0.71302154,10.1007/s00339-010-5711-3
Sr0.16Yb0.03Co4Sb11.82,550.0,-161.0,196364.0,3.45,0.005089951244,0.8114415026666666,10.1007/s00339-010-5711-3
Sr0.16Yb0.03Co4Sb11.82,600.0,-168.0,185455.0,3.4,0.00523428192,0.9236968094117648,10.1007/s00339-010-5711-3
Sr0.16Yb0.03Co4Sb11.82,650.0,-175.0,175909.0,3.4,0.005387213125,1.0299083915441176,10.1007/s00339-010-5711-3
Sr0.16Yb0.03Co4Sb11.82,700.0,-180.0,168182.0,3.41,0.0054490968,1.1185829208211142,10.1007/s00339-010-5711-3
Sr0.16Yb0.03Co4Sb11.82,750.0,-184.0,160000.0,3.46,0.00541696,1.1741965317919074,10.1007/s00339-010-5711-3
Sr0.16Yb0.03Co4Sb11.82,800.0,-188.0,155909.0,3.5,0.005510447696,1.259530901942857,10.1007/s00339-010-5711-3
Sr0.16Yb0.03Co4Sb11.82,850.0,-189.0,152273.0,3.62,0.005439343833,1.277193993936464,10.1007/s00339-010-5711-3
Sr0.21Co4Sb12.25,300.0,-126.0,240000.0,4.87,0.00381024,0.2347170431211499,10.1007/s00339-010-5711-3
Sr0.21Co4Sb12.25,350.0,-136.0,217727.0,4.58,0.004027078592,0.30774618061135367,10.1007/s00339-010-5711-3
Sr0.21Co4Sb12.25,400.0,-147.0,195454.0,4.29,0.004223565486,0.3938056397202797,10.1007/s00339-010-5711-3
Sr0.21Co4Sb12.25,450.0,-156.0,178636.0,4.11,0.004347285696,0.4759801856934306,10.1007/s00339-010-5711-3
Sr0.21Co4Sb12.25,500.0,-162.0,165455.0,3.92,0.00434220102,0.5538521709183672,10.1007/s00339-010-5711-3
